ID,Country,Specialization,How did you hear about Us,Current_Occupation,What matters most to you in choosing a course,Origin,Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Purchased
41,India,,,Unemployed,Better Career Prospects,API,Direct Traffic,No,No,3,342,3,Email Opened,No
42,India,Retail Management,Word Of Mouth,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,Yes,No,7,38,7,Unsubscribed,No
43,India,,,Unemployed,Better Career Prospects,API,Google,No,No,5,199,5,Email Opened,No
44,India,Finance Management,Online Search,,,Landing Page Submission,Google,No,No,5,222,5,Email Opened,No
45,India,Operations Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,6,275,3,Email Opened,No
46,India,Marketing Management,Other,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,4,287,2,Email Opened,No
47,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,2,547,2,Email Opened,No
48,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
49,India,Supply Chain Management,,Unemployed,Better Career Prospects,API,Google,No,No,6,1225,6,Page Visited on Website,No
50,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
51,,,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Email Opened,Yes
52,India,Business Administration,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,5,160,5,Email Opened,No
53,India,E-COMMERCE,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,6,394,2,Unreachable,No
54,India,,,,,API,Google,No,No,6,286,1.5,Olark Chat Conversation,No
55,India,,,,,API,Organic Search,No,No,7,96,2.33,Email Opened,No
56,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,2,12,2,Email Opened,No
57,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Referral Sites,No,No,13,436,13,Form Submitted on Website,Yes
58,India,Finance Management,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,8,903,8,Page Visited on Website,Yes
59,India,Human Resource Management,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,17,409,8.5,Email Opened,No
60,India,Services Excellence,,Unemployed,Better Career Prospects,Landing Page Submission,Referral Sites,No,No,11,685,5.5,Email Opened,No
61,India,International Business,Multiple Sources,Unemployed,Better Career Prospects,API,Google,No,No,4,213,4,Form Submitted on Website,No
62,,,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Email Opened,No
63,India,Marketing Management,,Unemployed,Better Career Prospects,API,Organic Search,No,No,7,1468,3.5,Page Visited on Website,Yes
64,,,,,,API,Olark Chat,No,No,0,0,0,Email Link Clicked,No
65,India,Operations Management,,Working Professional,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,4,1435,4,Email Opened,Yes
66,India,Hospitality Management,Word Of Mouth,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,1,157,1,Converted to Lead,Yes
67,India,Operations Management,,Unemployed,Better Career Prospects,API,Google,No,No,3,885,1.5,Had a Phone Conversation,Yes
68,,,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Email Opened,Yes
69,,Finance Management,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,View in browser link Clicked,No
70,,,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
71,India,Retail Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,1,1710,1,Converted to Lead,No
72,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,4,219,4,Email Opened,No
73,India,International Business,,Unemployed,Better Career Prospects,Landing Page Submission,Referral Sites,Yes,No,3,111,3,Email Bounced,No
74,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,6,224,6,Page Visited on Website,No
75,India,Operations Management,,,,Landing Page Submission,Direct Traffic,No,No,5,224,1.67,Page Visited on Website,No
76,India,Marketing Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,2,1071,2,Email Opened,Yes
77,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,Better Career Prospects,Landing Page Submission,Google,No,No,6,595,3,Email Opened,Yes
78,,,,Unemployed,Better Career Prospects,Lead Add Form,Welingak Website,No,No,,1096,,,Yes
79,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,API,Referral Sites,No,No,4,520,4,Email Opened,No
80,,Hospitality Management,,Working Professional,Better Career Prospects,Lead Add Form,Reference,No,No,,705,,,Yes
81,India,,,Unemployed,Better Career Prospects,API,Google,No,No,2,393,2,Email Opened,No
82,,,,Unemployed,Better Career Prospects,Lead Add Form,Welingak Website,No,No,,346,,,Yes
83,,Operations Management,,Working Professional,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Email Link Clicked,Yes
84,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
85,India,IT Projects Management,Other,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,3,1136,3,Page Visited on Website,Yes
86,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,3,335,3,Email Opened,No
87,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,4,75,4,Email Opened,No
88,Kuwait,Supply Chain Management,,,,Landing Page Submission,Direct Traffic,No,No,6,97,3,Email Opened,No
89,,Human Resource Management,,Unemployed,Better Career Prospects,Lead Add Form,Reference,No,No,,1007,,,Yes
90,India,Rural and Agribusiness,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,2,1085,2,Converted to Lead,No
91,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,3,214,3,Page Visited on Website,No
92,India,Business Administration,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,6,1158,1.5,Email Opened,Yes
93,India,Finance Management,Other,,,Landing Page Submission,Google,No,No,4,101,4,Email Opened,No
94,India,Healthcare Management,Word Of Mouth,,,Landing Page Submission,Google,No,No,9,838,4.5,Email Opened,No
95,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,3,536,3,Unreachable,No
96,India,Marketing Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,4,161,2,Unreachable,No
97,India,Healthcare Management,Student of SomeSchool,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,2,511,2,Form Submitted on Website,No
98,,,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
99,India,Human Resource Management,,Working Professional,Better Career Prospects,API,Google,No,No,5,1110,5,Olark Chat Conversation,Yes
100,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,5,1563,5,Email Opened,Yes
101,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,7,1633,3.5,Converted to Lead,No
102,,,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Email Opened,Yes
103,India,Finance Management,Online Search,,,Landing Page Submission,Google,No,No,12,809,4,Unreachable,No
104,Oman,Healthcare Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,2,638,2,Page Visited on Website,No
105,India,,,Unemployed,Better Career Prospects,API,Google,No,No,5,1196,5,Page Visited on Website,Yes
106,India,Supply Chain Management,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,6,1485,6,Email Opened,No
107,India,,,,,API,Google,No,No,9,125,3,Page Visited on Website,No
108,India,,,Unemployed,Better Career Prospects,API,Google,No,No,3,165,3,Olark Chat Conversation,Yes
109,India,E-COMMERCE,Student of SomeSchool,,,Landing Page Submission,Google,No,No,6,398,3,Olark Chat Conversation,No
110,India,,,,,API,Organic Search,No,No,3,570,3,Converted to Lead,No
111,India,Operations Management,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,6,895,6,Email Opened,Yes
112,India,Human Resource Management,Multiple Sources,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,4,1190,4,Email Opened,Yes
113,,Business Administration,,Working Professional,Better Career Prospects,Lead Add Form,Reference,No,No,0,0,0,Email Link Clicked,Yes
114,India,,,Unemployed,Better Career Prospects,API,Direct Traffic,No,No,5,1566,5,Converted to Lead,No
115,India,,,Unemployed,Better Career Prospects,API,Google,No,No,5,727,5,Email Opened,Yes
116,India,Hospitality Management,Other,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,8,652,4,Unreachable,No
117,India,,,,,API,Organic Search,No,No,4,1248,1.33,Email Opened,No
118,India,,,Unemployed,Better Career Prospects,API,Google,No,No,2,767,2,Email Opened,No
119,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,10,275,3.33,Page Visited on Website,No
120,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,3,273,3,Converted to Lead,No
121,,Marketing Management,,Working Professional,Better Career Prospects,Lead Add Form,Reference,No,No,,1111,,,Yes
122,India,Finance Management,Online Search,,,Landing Page Submission,Google,No,No,8,277,4,Email Opened,No
123,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,3,1207,1.5,Olark Chat Conversation,Yes
124,India,,,,,API,Google,No,No,2,39,1,Converted to Lead,No
125,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,4,1638,4,Email Opened,No
126,India,,,,,API,Referral Sites,No,No,16,53,16,Olark Chat Conversation,No
127,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,1,127,1,Converted to Lead,No
128,India,Supply Chain Management,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,Yes,No,5,100,5,Page Visited on Website,No
129,India,International Business,Multiple Sources,,,Landing Page Submission,Google,Yes,No,4,323,4,Unsubscribed,No
130,India,,,Unemployed,Better Career Prospects,API,Google,No,No,2,160,1,Olark Chat Conversation,Yes
131,,Marketing Management,,Businessman,Better Career Prospects,Lead Add Form,Reference,No,No,0,0,0,Email Opened,Yes
132,India,,,Unemployed,Better Career Prospects,API,Google,No,No,1,263,1,Converted to Lead,No
133,India,,,Unemployed,Better Career Prospects,API,Google,No,No,2,1218,2,Olark Chat Conversation,No
134,,Marketing Management,,Working Professional,Better Career Prospects,Lead Add Form,Reference,No,No,,986,,,Yes
135,,,,Unemployed,Better Career Prospects,Lead Add Form,Welingak Website,No,No,,889,,,Yes
136,India,Finance Management,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,5,1091,5,Unreachable,Yes
137,India,Supply Chain Management,,,,Landing Page Submission,Direct Traffic,No,No,4,291,4,Olark Chat Conversation,No
138,,Hospitality Management,,Unemployed,Better Career Prospects,Lead Add Form,Reference,No,No,0,0,0,Email Opened,Yes
139,India,,,Unemployed,Better Career Prospects,API,Google,Yes,No,1,1759,1,Olark Chat Conversation,No
140,India,Services Excellence,,,,Landing Page Submission,Referral Sites,No,No,7,41,3.5,Email Opened,No
141,India,Business Administration,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,5,386,5,Email Opened,No
142,India,,,,,API,Referral Sites,No,No,6,216,2,Page Visited on Website,No
143,India,Operations Management,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,5,1603,5,Email Opened,Yes
144,India,,Multiple Sources,,,Landing Page Submission,google,No,No,7,106,3.5,Page Visited on Website,No
145,India,,,Unemployed,Better Career Prospects,API,Google,No,No,2,73,2,Unreachable,No
146,,,,Unemployed,Better Career Prospects,API,Google,No,No,2,77,2,Converted to Lead,No
147,India,Hospitality Management,,,,Landing Page Submission,Direct Traffic,No,No,3,718,3,Unreachable,No
148,India,Marketing Management,Word Of Mouth,,,Landing Page Submission,Google,No,No,5,432,1.67,Olark Chat Conversation,No
149,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,5,232,2.5,Email Opened,No
150,India,Hospitality Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,2,702,2,Email Opened,No
151,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,5,614,5,Unreachable,Yes
152,India,IT Projects Management,,,,Landing Page Submission,Direct Traffic,No,No,1,1808,1,Converted to Lead,Yes
153,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,Yes,No,2,234,1,Email Bounced,No
154,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,3,245,3,Unreachable,No
155,India,Operations Management,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,8,1268,4,Email Opened,Yes
156,India,,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,2,56,2,Email Bounced,No
157,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,4,174,2,Email Link Clicked,No
158,India,,Word Of Mouth,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,4,1149,2,Email Opened,No
159,India,E-COMMERCE,,,,Landing Page Submission,Direct Traffic,No,No,2,333,2,Email Opened,No
160,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,7,471,2.33,Email Opened,No
161,India,Supply Chain Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,3,1010,3,Email Opened,Yes
162,India,Operations Management,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,10,1815,3.33,Had a Phone Conversation,Yes
163,India,Business Administration,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,2,47,2,Email Link Clicked,No
164,India,Operations Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,3,1528,1.5,Email Opened,Yes
165,India,Finance Management,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,6,919,6,Email Opened,Yes
166,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,API,Organic Search,No,No,10,194,5,Email Link Clicked,No
167,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,1,1173,1,Converted to Lead,No
168,India,,,Unemployed,Better Career Prospects,API,Google,No,No,2,351,2,Email Opened,No
169,India,Marketing Management,,,,Landing Page Submission,Referral Sites,No,No,12,493,12,Email Link Clicked,No
170,India,Operations Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,3,381,1.5,Page Visited on Website,No
171,India,,,,,API,Referral Sites,No,No,2,1944,2,Email Opened,No
172,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,5,65,5,Unreachable,No
173,India,Business Administration,,,,API,Organic Search,No,No,7,1334,7,Email Opened,No
174,India,"Banking, Investment And Insurance",Online Search,,,API,Google,No,No,7,615,7,Form Submitted on Website,No
175,,Finance Management,,Working Professional,Better Career Prospects,Lead Add Form,Reference,No,No,0,0,0,Email Opened,Yes
176,India,,,Unemployed,Better Career Prospects,API,Google,No,No,1,250,1,Email Bounced,No
177,India,Business Administration,,,,Landing Page Submission,Direct Traffic,No,No,2,383,2,Email Link Clicked,No
178,,,,Unemployed,Better Career Prospects,Lead Add Form,Welingak Website,No,No,,1240,,,Yes
179,,"Banking, Investment And Insurance",,Working Professional,Better Career Prospects,Lead Add Form,Reference,No,No,0,0,0,Email Opened,Yes
180,,,,Unemployed,Better Career Prospects,Lead Add Form,Welingak Website,No,No,,458,,,Yes
181,,,,Unemployed,Better Career Prospects,Lead Add Form,Welingak Website,No,No,,1060,,,Yes
182,,,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Email Opened,No
183,,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,4,904,4,Olark Chat Conversation,No
184,India,,,,,API,Google,No,No,1,164,1,Converted to Lead,No
185,India,,,Unemployed,Better Career Prospects,API,Google,No,No,2,1793,2,Converted to Lead,No
186,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,5,1841,5,Olark Chat Conversation,No
187,India,"Banking, Investment And Insurance",,Unemployed,Better Career Prospects,API,Organic Search,No,No,8,877,2.67,Email Link Clicked,Yes
188,,Retail Management,,Unemployed,Better Career Prospects,Lead Add Form,Reference,No,No,0,0,0,Unreachable,Yes
189,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,12,1411,6,Email Opened,Yes
190,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,6,385,6,Converted to Lead,Yes
191,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
192,India,Media and Advertising,Word Of Mouth,,,API,Google,No,No,12,68,1.71,Page Visited on Website,No
193,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
194,India,International Business,Online Search,,,Landing Page Submission,Google,No,No,3,192,3,Email Opened,No
195,India,Finance Management,Word Of Mouth,,,Landing Page Submission,Google,No,No,5,309,5,Olark Chat Conversation,No
196,,,,Unemployed,Better Career Prospects,Lead Add Form,Reference,No,No,,785,,Approached upfront,Yes
197,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,4,342,4,Email Opened,No
198,India,,,Unemployed,Better Career Prospects,API,Google,No,No,2,78,1,Email Opened,No
199,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
200,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
201,India,International Business,,Student,Better Career Prospects,API,Organic Search,No,No,5,1234,1.67,Email Opened,Yes
202,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,8,14,8,Olark Chat Conversation,No
203,,,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
204,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,4,77,4,Unreachable,No
205,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,3,1299,3,Olark Chat Conversation,Yes
206,,Finance Management,,Unemployed,Better Career Prospects,Lead Add Form,Reference,No,No,0,0,0,Email Opened,Yes
207,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,2,457,2,Email Opened,No
208,United Arab Emirates,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,5,358,5,Page Visited on Website,No
209,India,"Banking, Investment And Insurance",,,,Landing Page Submission,Direct Traffic,No,No,3,481,3,Email Link Clicked,No
210,India,,,Unemployed,Better Career Prospects,API,Direct Traffic,No,No,2,205,2,Olark Chat Conversation,No
211,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,1,1106,1,Converted to Lead,Yes
212,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,9,1953,1.8,Email Opened,Yes
213,,Marketing Management,,Unemployed,Better Career Prospects,Lead Add Form,Reference,No,No,,1070,,,Yes
214,,,,Unemployed,Better Career Prospects,Lead Add Form,Reference,No,No,0,0,0,Email Opened,Yes
215,India,Finance Management,Online Search,,,Landing Page Submission,Google,No,No,5,207,2.5,Form Submitted on Website,No
216,India,E-COMMERCE,Multiple Sources,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,2,1587,2,Email Opened,Yes
217,India,E-Business,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,2,1509,2,Email Opened,Yes
218,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,4,331,4,Unreachable,No
219,India,Human Resource Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,4,187,4,Email Link Clicked,No
220,India,Human Resource Management,,Unemployed,Better Career Prospects,API,Organic Search,No,No,3,1407,1.5,Converted to Lead,Yes
221,,Finance Management,,Working Professional,Better Career Prospects,Lead Add Form,Reference,No,No,0,0,0,Email Opened,Yes
222,India,,Email,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,1,123,1,Converted to Lead,No
223,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,1,100,1,Converted to Lead,No
224,India,Healthcare Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,9,1164,4.5,Email Opened,Yes
225,,,,,,API,Olark Chat,No,No,0,0,0,Email Opened,No
226,India,Rural and Agribusiness,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,1,1362,1,Unreachable,Yes
227,India,,,,,API,Direct Traffic,No,No,7,1051,3.5,Olark Chat Conversation,No
228,India,,Word Of Mouth,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,2,1816,2,Converted to Lead,No
229,India,Finance Management,Multiple Sources,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,7,74,2.33,Unreachable,No
230,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,13,54,6.5,Email Opened,No
231,India,Finance Management,,,,Landing Page Submission,Direct Traffic,No,No,3,1183,3,Email Opened,Yes
232,India,IT Projects Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,3,66,3,Email Opened,No
233,,,,,,API,Olark Chat,No,No,3,1122,1.5,Email Opened,No
234,India,Supply Chain Management,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,6,135,6,Email Opened,No
235,India,E-Business,,,,Landing Page Submission,Direct Traffic,No,No,9,307,1.8,Olark Chat Conversation,No
236,India,International Business,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,12,28,6,Email Opened,No
237,,,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Email Opened,No
238,India,,Student of SomeSchool,,,Landing Page Submission,google,No,No,5,306,5,Page Visited on Website,No
239,India,Human Resource Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,7,116,7,Email Opened,Yes
240,India,Human Resource Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,2,1054,2,Email Opened,No
241,India,Operations Management,,Unemployed,Better Career Prospects,API,Organic Search,No,No,3,195,3,Converted to Lead,Yes
242,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
243,India,Operations Management,Online Search,Working Professional,Better Career Prospects,Landing Page Submission,Google,No,No,3,732,3,Email Opened,Yes
244,United States,Human Resource Management,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,7,1130,2.33,Page Visited on Website,No
245,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,13,594,4.33,Had a Phone Conversation,No
246,India,,,,,API,Organic Search,No,No,5,1117,5,Email Opened,No
247,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,14,354,14,Unreachable,No
248,India,,,Unemployed,Better Career Prospects,API,Google,No,No,3,217,3,Unreachable,No
249,,,,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
250,India,Finance Management,,Unemployed,Better Career Prospects,API,Direct Traffic,No,No,5,1837,2.5,Email Opened,Yes
251,India,Human Resource Management,Multiple Sources,,,Landing Page Submission,Google,No,No,1,302,1,Converted to Lead,No
252,India,Human Resource Management,Word Of Mouth,,,Landing Page Submission,Google,No,No,6,32,6,Page Visited on Website,No
