ID,Purchased,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Specialization,Origin
81,No,No,No,2,393,2,,API
82,Yes,No,No,,346,,,Lead Add Form
83,Yes,No,No,0,0,0,Operations Management,API
84,No,No,No,0,0,0,,API
85,Yes,No,No,3,1136,3,IT Projects Management,Landing Page Submission
86,No,No,No,3,335,3,,API
87,No,No,No,4,75,4,,API
88,No,No,No,6,97,3,Supply Chain Management,Landing Page Submission
89,Yes,No,No,,1007,,Human Resource Management,Lead Add Form
90,No,No,No,2,1085,2,Rural and Agribusiness,Landing Page Submission
91,No,No,No,3,214,3,,API
92,Yes,No,No,6,1158,1.5,Business Administration,API
93,No,No,No,4,101,4,Finance Management,Landing Page Submission
94,No,No,No,9,838,4.5,Healthcare Management,Landing Page Submission
95,No,No,No,3,536,3,Finance Management,Landing Page Submission
96,No,No,No,4,161,2,Marketing Management,Landing Page Submission
97,No,No,No,2,511,2,Healthcare Management,Landing Page Submission
98,No,No,No,0,0,0,,API
99,Yes,No,No,5,1110,5,Human Resource Management,API
100,Yes,No,No,5,1563,5,Finance Management,Landing Page Submission
101,No,No,No,7,1633,3.5,,API
102,Yes,No,No,0,0,0,,API
103,No,No,No,12,809,4,Finance Management,Landing Page Submission
104,No,No,No,2,638,2,Healthcare Management,Landing Page Submission
105,Yes,No,No,5,1196,5,,API
106,No,No,No,6,1485,6,Supply Chain Management,Landing Page Submission
107,No,No,No,9,125,3,,API
108,Yes,No,No,3,165,3,,API
109,No,No,No,6,398,3,E-COMMERCE,Landing Page Submission
110,No,No,No,3,570,3,,API
111,Yes,No,No,6,895,6,Operations Management,Landing Page Submission
112,Yes,No,No,4,1190,4,Human Resource Management,Landing Page Submission
113,Yes,No,No,0,0,0,Business Administration,Lead Add Form
114,No,No,No,5,1566,5,,API
115,Yes,No,No,5,727,5,,API
116,No,No,No,8,652,4,Hospitality Management,Landing Page Submission
117,No,No,No,4,1248,1.33,,API
118,No,No,No,2,767,2,,API
119,No,No,No,10,275,3.33,,API
120,No,No,No,3,273,3,,API
121,Yes,No,No,,1111,,Marketing Management,Lead Add Form
122,No,No,No,8,277,4,Finance Management,Landing Page Submission
123,Yes,No,No,3,1207,1.5,,API
124,No,No,No,2,39,1,,API
125,No,No,No,4,1638,4,Finance Management,Landing Page Submission
126,No,No,No,16,53,16,,API
127,No,No,No,1,127,1,Finance Management,Landing Page Submission
128,No,Yes,No,5,100,5,Supply Chain Management,Landing Page Submission
129,No,Yes,No,4,323,4,International Business,Landing Page Submission
130,Yes,No,No,2,160,1,,API
131,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
132,No,No,No,1,263,1,,API
133,No,No,No,2,1218,2,,API
134,Yes,No,No,,986,,Marketing Management,Lead Add Form
135,Yes,No,No,,889,,,Lead Add Form
136,Yes,No,No,5,1091,5,Finance Management,Landing Page Submission
137,No,No,No,4,291,4,Supply Chain Management,Landing Page Submission
138,Yes,No,No,0,0,0,Hospitality Management,Lead Add Form
139,No,Yes,No,1,1759,1,,API
140,No,No,No,7,41,3.5,Services Excellence,Landing Page Submission
141,No,No,No,5,386,5,Business Administration,Landing Page Submission
142,No,No,No,6,216,2,,API
143,Yes,No,No,5,1603,5,Operations Management,Landing Page Submission
144,No,No,No,7,106,3.5,,Landing Page Submission
145,No,No,No,2,73,2,,API
146,No,No,No,2,77,2,,API
147,No,No,No,3,718,3,Hospitality Management,Landing Page Submission
148,No,No,No,5,432,1.67,Marketing Management,Landing Page Submission
149,No,No,No,5,232,2.5,Human Resource Management,Landing Page Submission
150,No,No,No,2,702,2,Hospitality Management,Landing Page Submission
151,Yes,No,No,5,614,5,Finance Management,Landing Page Submission
152,Yes,No,No,1,1808,1,IT Projects Management,Landing Page Submission
153,No,Yes,No,2,234,1,Finance Management,Landing Page Submission
154,No,No,No,3,245,3,Finance Management,Landing Page Submission
155,Yes,No,No,8,1268,4,Operations Management,Landing Page Submission
156,No,No,No,2,56,2,,Landing Page Submission
157,No,No,No,4,174,2,,API
158,No,No,No,4,1149,2,,Landing Page Submission
159,No,No,No,2,333,2,E-COMMERCE,Landing Page Submission
160,No,No,No,7,471,2.33,,API
161,Yes,No,No,3,1010,3,Supply Chain Management,Landing Page Submission
162,Yes,No,No,10,1815,3.33,Operations Management,API
163,No,No,No,2,47,2,Business Administration,Landing Page Submission
164,Yes,No,No,3,1528,1.5,Operations Management,Landing Page Submission
165,Yes,No,No,6,919,6,Finance Management,Landing Page Submission
166,No,No,No,10,194,5,Media and Advertising,API
167,No,No,No,1,1173,1,,API
168,No,No,No,2,351,2,,API
169,No,No,No,12,493,12,Marketing Management,Landing Page Submission
170,No,No,No,3,381,1.5,Operations Management,Landing Page Submission
171,No,No,No,2,1944,2,,API
172,No,No,No,5,65,5,Human Resource Management,Landing Page Submission
173,No,No,No,7,1334,7,Business Administration,API
174,No,No,No,7,615,7,"Banking, Investment And Insurance",API
175,Yes,No,No,0,0,0,Finance Management,Lead Add Form
176,No,No,No,1,250,1,,API
177,No,No,No,2,383,2,Business Administration,Landing Page Submission
178,Yes,No,No,,1240,,,Lead Add Form
179,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
180,Yes,No,No,,458,,,Lead Add Form
181,Yes,No,No,,1060,,,Lead Add Form
182,No,No,No,0,0,0,,API
183,No,No,No,4,904,4,,API
184,No,No,No,1,164,1,,API
185,No,No,No,2,1793,2,,API
186,No,No,No,5,1841,5,,API
187,Yes,No,No,8,877,2.67,"Banking, Investment And Insurance",API
188,Yes,No,No,0,0,0,Retail Management,Lead Add Form
189,Yes,No,No,12,1411,6,Finance Management,Landing Page Submission
190,Yes,No,No,6,385,6,,API
191,No,No,No,0,0,0,,API
192,No,No,No,12,68,1.71,Media and Advertising,API
193,No,No,No,0,0,0,,API
194,No,No,No,3,192,3,International Business,Landing Page Submission
195,No,No,No,5,309,5,Finance Management,Landing Page Submission
196,Yes,No,No,,785,,,Lead Add Form
197,No,No,No,4,342,4,,API
198,No,No,No,2,78,1,,API
199,No,No,No,0,0,0,,API
200,No,No,No,0,0,0,,API
201,Yes,No,No,5,1234,1.67,International Business,API
202,No,No,No,8,14,8,,API
203,No,No,No,0,0,0,,API
204,No,No,No,4,77,4,,API
205,Yes,No,No,3,1299,3,,API
206,Yes,No,No,0,0,0,Finance Management,Lead Add Form
207,No,No,No,2,457,2,,API
208,No,No,No,5,358,5,,API
209,No,No,No,3,481,3,"Banking, Investment And Insurance",Landing Page Submission
210,No,No,No,2,205,2,,API
211,Yes,No,No,1,1106,1,Finance Management,Landing Page Submission
212,Yes,No,No,9,1953,1.8,Supply Chain Management,Landing Page Submission
213,Yes,No,No,,1070,,Marketing Management,Lead Add Form
214,Yes,No,No,0,0,0,,Lead Add Form
215,No,No,No,5,207,2.5,Finance Management,Landing Page Submission
216,Yes,No,No,2,1587,2,E-COMMERCE,Landing Page Submission
217,Yes,No,No,2,1509,2,E-Business,Landing Page Submission
218,No,No,No,4,331,4,,API
219,No,No,No,4,187,4,Human Resource Management,Landing Page Submission
220,Yes,No,No,3,1407,1.5,Human Resource Management,API
221,Yes,No,No,0,0,0,Finance Management,Lead Add Form
222,No,No,No,1,123,1,,Landing Page Submission
223,No,No,No,1,100,1,,API
224,Yes,No,No,9,1164,4.5,Healthcare Management,Landing Page Submission
225,No,No,No,0,0,0,,API
226,Yes,No,No,1,1362,1,Rural and Agribusiness,Landing Page Submission
227,No,No,No,7,1051,3.5,,API
228,No,No,No,2,1816,2,,Landing Page Submission
229,No,No,No,7,74,2.33,Finance Management,Landing Page Submission
230,No,No,No,13,54,6.5,,API
231,Yes,No,No,3,1183,3,Finance Management,Landing Page Submission
232,No,No,No,3,66,3,IT Projects Management,Landing Page Submission
233,No,No,No,3,1122,1.5,,API
234,No,No,No,6,135,6,Supply Chain Management,Landing Page Submission
235,No,No,No,9,307,1.8,E-Business,Landing Page Submission
236,No,No,No,12,28,6,International Business,Landing Page Submission
237,No,No,No,0,0,0,,API
238,No,No,No,5,306,5,,Landing Page Submission
239,Yes,No,No,7,116,7,Human Resource Management,Landing Page Submission
240,No,No,No,2,1054,2,Human Resource Management,Landing Page Submission
241,Yes,No,No,3,195,3,Operations Management,API
242,No,No,No,0,0,0,,API
243,Yes,No,No,3,732,3,Operations Management,Landing Page Submission
244,No,No,No,7,1130,2.33,Human Resource Management,API
245,No,No,No,13,594,4.33,,API
246,No,No,No,5,1117,5,,API
247,No,No,No,14,354,14,,API
248,No,No,No,3,217,3,,API
249,No,No,No,0,0,0,,API
250,Yes,No,No,5,1837,2.5,Finance Management,API
251,No,No,No,1,302,1,Human Resource Management,Landing Page Submission
252,No,No,No,6,32,6,Human Resource Management,Landing Page Submission
253,No,No,No,1,1226,1,Human Resource Management,Landing Page Submission
254,No,No,No,4,144,4,Operations Management,Landing Page Submission
255,Yes,No,No,2,631,1,,API
256,Yes,No,No,1,891,1,Operations Management,Landing Page Submission
257,No,No,No,0,0,0,,API
258,No,No,No,3,235,3,,API
259,No,No,No,2,453,2,Services Excellence,Landing Page Submission
260,No,No,No,3,60,1.5,,API
261,Yes,No,No,0,0,0,,Lead Add Form
262,No,No,No,9,96,4.5,,API
263,Yes,No,No,0,0,0,,Lead Add Form
264,No,No,No,0,0,0,,API
265,Yes,No,No,11,825,11,Finance Management,API
266,No,No,No,0,0,0,,API
267,No,No,No,11,10,5.5,,API
268,Yes,No,No,,1704,,,Lead Add Form
269,Yes,No,No,3,1154,1,,API
270,Yes,No,No,,1262,,Operations Management,Lead Add Form
271,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
272,Yes,No,No,6,104,3,Human Resource Management,Landing Page Submission
273,No,No,No,3,331,3,,API
274,No,No,No,5,294,2.5,Healthcare Management,Landing Page Submission
275,No,No,No,5,345,5,,API
276,No,No,No,2,172,2,,API
277,Yes,No,No,4,228,4,"Banking, Investment And Insurance",Landing Page Submission
278,No,No,No,5,26,5,Hospitality Management,Landing Page Submission
279,No,No,No,0,0,0,,API
280,No,No,No,4,436,4,,API
281,No,No,No,5,1008,5,,Landing Page Submission
282,No,No,No,17,71,3.4,,Landing Page Submission
283,No,No,No,8,43,8,Human Resource Management,Landing Page Submission
284,No,No,No,4,294,4,E-Business,Landing Page Submission
285,No,No,No,2,1528,1,,API
286,No,No,No,0,0,0,,API
287,No,No,No,0,0,0,,API
288,No,No,No,1,213,1,,API
289,Yes,No,No,4,31,1.33,Operations Management,Landing Page Submission
290,No,No,No,3,389,3,,API
291,No,No,No,0,0,0,,API
292,No,No,No,4,97,4,,API
293,No,No,No,13,194,13,Marketing Management,Landing Page Submission
294,Yes,No,No,2,526,2,Human Resource Management,Landing Page Submission
295,No,No,No,10,11,10,,API
296,No,No,No,5,297,2.5,,API
297,No,No,No,4,174,4,Human Resource Management,Landing Page Submission
298,No,No,No,4,12,4,"Banking, Investment And Insurance",Landing Page Submission
299,Yes,No,No,5,254,1.25,Finance Management,Landing Page Submission
300,Yes,No,No,,803,,Human Resource Management,Lead Add Form
301,No,No,No,0,0,0,,API
302,Yes,No,No,4,595,4,"Banking, Investment And Insurance",Landing Page Submission
303,No,No,No,7,250,2.33,,API
304,No,No,No,11,1189,11,Human Resource Management,Landing Page Submission
305,No,No,No,5,73,5,IT Projects Management,Landing Page Submission
306,No,No,No,3,491,3,E-Business,Landing Page Submission
307,Yes,Yes,No,7,1281,1.75,,API
308,Yes,No,No,3,117,3,,API
309,No,No,No,5,1493,1.67,,API
310,Yes,No,No,5,263,2.5,Marketing Management,Landing Page Submission
311,No,No,No,7,207,3.5,,API
312,No,No,No,4,67,4,"Banking, Investment And Insurance",Landing Page Submission
313,No,No,No,6,866,3,,API
314,No,No,No,6,419,6,Supply Chain Management,Landing Page Submission
315,No,No,No,11,188,5.5,,API
316,No,No,No,2,362,2,,API
317,No,No,No,3,199,3,Human Resource Management,Landing Page Submission
318,Yes,No,No,10,556,5,Finance Management,API
319,Yes,No,No,5,1536,5,Human Resource Management,API
320,Yes,No,No,4,1088,4,Supply Chain Management,API
321,Yes,No,No,6,863,6,Operations Management,Landing Page Submission
322,No,Yes,No,4,1410,4,Marketing Management,Landing Page Submission
323,No,Yes,No,8,76,8,,API
324,No,No,No,0,0,0,,API
325,No,No,No,6,209,3,Healthcare Management,Landing Page Submission
326,No,No,No,5,58,5,Finance Management,Landing Page Submission
327,No,No,No,6,90,2,,API
328,Yes,No,No,7,950,2.33,Human Resource Management,API
329,No,No,No,0,0,0,Healthcare Management,API
330,No,No,No,8,149,2,Finance Management,Landing Page Submission
331,No,No,No,4,3,4,International Business,Landing Page Submission
332,Yes,No,No,7,901,7,Marketing Management,Landing Page Submission
333,No,No,No,0,0,0,,API
334,No,No,No,6,110,3,,API
335,No,No,No,0,0,0,,API
336,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
337,No,No,No,3,445,3,,API
338,No,No,No,7,1939,2.33,Media and Advertising,Landing Page Submission
339,No,No,No,0,0,0,,API
340,No,No,No,3,199,1.5,"Banking, Investment And Insurance",API
341,No,No,No,1,633,1,,API
342,No,No,No,4,457,2,,API
343,No,No,No,4,86,4,,API
344,No,No,No,7,57,2.33,Business Administration,Landing Page Submission
345,No,No,No,0,0,0,,API
346,Yes,No,No,21,1113,2.63,Operations Management,Landing Page Submission
347,No,No,No,4,237,4,,API
348,No,No,No,2,43,2,Finance Management,Landing Page Submission
349,Yes,No,No,,43,,Media and Advertising,Lead Add Form
350,No,No,No,0,0,0,,API
351,Yes,No,No,0,0,0,Supply Chain Management,Lead Add Form
352,No,No,No,0,0,0,,API
353,No,No,No,2,1366,2,,API
354,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
355,No,No,No,3,124,3,,API
356,No,No,No,2,135,2,,API
357,Yes,No,No,5,1216,2.5,International Business,Landing Page Submission
358,No,No,No,3,35,3,Human Resource Management,Landing Page Submission
359,Yes,No,No,0,0,0,Finance Management,API
360,No,No,No,4,157,4,Operations Management,Landing Page Submission
361,No,No,No,0,0,0,,API
362,No,No,No,3,170,1.5,,API
363,No,No,No,4,71,4,,API
364,No,No,No,5,811,5,Operations Management,Landing Page Submission
365,Yes,No,No,,972,,Healthcare Management,Lead Add Form
366,No,No,No,10,278,5,,API
367,No,No,No,0,0,0,,API
368,No,No,No,5,809,5,,API
369,No,No,No,0,0,0,,API
370,Yes,No,No,,781,,Supply Chain Management,Lead Add Form
371,Yes,No,No,4,1226,4,Finance Management,Landing Page Submission
372,No,No,No,5,1469,2.5,Rural and Agribusiness,Landing Page Submission
373,No,No,No,5,253,1.67,,API
374,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
375,Yes,No,No,4,1378,4,Human Resource Management,Landing Page Submission
376,No,No,No,10,66,10,,API
377,No,No,No,4,372,4,Human Resource Management,Landing Page Submission
378,Yes,No,No,3,1636,1.5,,API
379,No,No,No,2,376,2,,API
380,Yes,No,No,1,214,1,Supply Chain Management,Landing Page Submission
381,No,No,No,0,0,0,,API
382,No,Yes,No,0,0,0,,API
383,No,No,No,8,93,8,E-COMMERCE,Landing Page Submission
384,No,No,No,0,0,0,,API
385,No,No,No,3,365,3,IT Projects Management,Landing Page Submission
386,Yes,No,No,6,274,2,Marketing Management,Landing Page Submission
387,No,No,No,4,179,4,,API
388,No,No,No,15,753,15,"Banking, Investment And Insurance",Landing Page Submission
389,No,No,No,3,1346,3,Human Resource Management,Landing Page Submission
390,No,No,No,7,277,3.5,,API
391,No,No,No,2,90,2,,API
392,No,No,No,0,0,0,,API
393,Yes,No,No,9,1289,2.25,IT Projects Management,Landing Page Submission
394,No,No,No,8,246,2.67,,API
395,No,No,No,11,116,3.67,Marketing Management,Landing Page Submission
396,No,No,No,0,0,0,,API
397,Yes,No,No,5,472,5,Marketing Management,Landing Page Submission
398,No,No,No,2,395,1,,API
399,No,No,No,0,0,0,,API
400,No,No,No,0,0,0,,API
401,Yes,Yes,No,4,1354,4,Business Administration,Landing Page Submission
402,Yes,No,No,5,1102,5,Human Resource Management,Landing Page Submission
403,No,No,No,0,0,0,,API
404,No,No,No,2,1268,2,,API
405,Yes,No,No,5,1354,2.5,,API
406,Yes,No,No,3,1561,1.5,,API
407,Yes,No,No,10,1128,1.43,Marketing Management,Landing Page Submission
408,Yes,No,No,4,1341,2,,API
409,No,No,No,2,250,2,Marketing Management,Landing Page Submission
410,No,No,No,2,250,2,,API
411,No,No,No,2,248,2,,API
412,No,Yes,No,2,402,2,Media and Advertising,Landing Page Submission
413,No,No,No,1,235,1,,API
414,No,No,No,6,125,3,,API
415,No,No,No,2,236,2,,API
416,No,No,No,9,110,9,,API
417,No,Yes,No,7,265,3.5,,API
418,No,No,No,7,109,7,Marketing Management,Landing Page Submission
419,No,No,No,3,98,3,"Banking, Investment And Insurance",Landing Page Submission
420,No,No,No,7,315,3.5,Operations Management,Landing Page Submission
421,No,No,No,2,339,2,Media and Advertising,API
422,No,No,No,3,211,3,Marketing Management,Landing Page Submission
423,Yes,No,No,2,703,2,Finance Management,Landing Page Submission
424,No,No,No,13,408,6.5,Hospitality Management,Landing Page Submission
425,No,No,No,11,366,3.67,,API
426,No,Yes,No,5,106,5,Travel and Tourism,Landing Page Submission
427,Yes,No,No,2,1099,2,,Landing Page Submission
428,No,No,No,11,306,11,Services Excellence,API
429,No,No,No,9,290,3,Operations Management,API
430,No,No,No,11,220,11,Operations Management,API
431,Yes,No,No,8,235,8,Marketing Management,Landing Page Submission
432,No,No,No,6,25,3,Operations Management,Landing Page Submission
433,No,No,No,7,463,3.5,,API
434,No,No,No,2,398,2,Human Resource Management,Landing Page Submission
435,No,No,No,3,623,3,,API
436,No,No,No,4,281,4,Marketing Management,Landing Page Submission
437,No,No,No,3,46,3,Finance Management,Landing Page Submission
438,No,No,No,0,0,0,,API
439,Yes,No,No,9,1468,9,E-Business,Landing Page Submission
440,No,Yes,No,5,615,2.5,Rural and Agribusiness,Landing Page Submission
441,No,No,No,6,424,3,,API
442,No,No,No,4,3,4,Supply Chain Management,Landing Page Submission
443,No,No,No,3,64,3,,API
444,Yes,No,No,2,107,2,E-Business,Landing Page Submission
445,No,No,No,3,150,1.5,,API
446,No,No,No,5,663,5,Operations Management,Landing Page Submission
447,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
448,Yes,No,No,0,0,0,,Lead Add Form
449,Yes,No,No,0,0,0,Operations Management,Lead Add Form
450,Yes,No,No,0,0,0,,Lead Add Form
451,No,No,No,3,185,3,Marketing Management,API
452,No,No,No,8,321,4,Business Administration,Landing Page Submission
453,Yes,No,No,4,1357,4,IT Projects Management,Landing Page Submission
454,No,No,No,4,1447,4,Operations Management,Landing Page Submission
455,Yes,No,No,1,990,1,Marketing Management,Lead Add Form
456,No,No,No,2,44,2,,API
457,No,No,No,2,56,2,,API
458,No,No,No,3,1412,3,Finance Management,Landing Page Submission
459,No,No,No,2,374,1,,API
460,Yes,No,No,4,746,4,Human Resource Management,Landing Page Submission
461,Yes,No,No,0,0,0,,Lead Add Form
462,No,No,No,2,175,2,,API
463,No,No,No,4,365,2,Finance Management,Landing Page Submission
464,No,No,No,2,102,2,,API
465,No,No,No,4,248,2,,API
466,No,No,No,6,351,6,E-COMMERCE,Landing Page Submission
467,Yes,No,No,3,267,3,Finance Management,Landing Page Submission
468,No,No,No,7,238,1.75,Finance Management,Landing Page Submission
469,No,No,No,2,170,1,,API
470,No,No,No,22,59,5.5,Human Resource Management,Landing Page Submission
471,Yes,No,No,,205,,Finance Management,Lead Add Form
472,No,No,No,7,150,7,E-COMMERCE,Landing Page Submission
473,Yes,No,No,5,1250,5,E-COMMERCE,Landing Page Submission
474,No,No,No,5,255,2.5,Human Resource Management,Landing Page Submission
475,No,No,No,1,153,1,,API
476,Yes,No,No,0,0,0,E-Business,Lead Add Form
477,No,No,No,0,0,0,,API
478,No,No,No,3,217,3,Supply Chain Management,Landing Page Submission
479,No,No,No,0,0,0,,API
480,No,No,No,2,2,2,Healthcare Management,Landing Page Submission
481,No,No,No,0,0,0,,API
482,No,No,No,3,345,1.5,,API
483,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
484,No,Yes,No,2,183,2,Human Resource Management,Landing Page Submission
485,No,No,No,0,0,0,,API
486,No,No,No,9,181,3,Finance Management,Landing Page Submission
487,No,No,No,3,677,1.5,,API
488,No,No,No,2,134,2,,API
489,No,No,No,4,432,4,Media and Advertising,Landing Page Submission
490,Yes,No,No,0,0,0,,API
491,No,No,No,4,396,2,,API
492,No,No,No,4,163,4,E-Business,Landing Page Submission
493,No,No,No,0,0,0,,API
494,Yes,No,No,0,0,0,Finance Management,Lead Add Form
495,Yes,No,No,5,1491,2.5,Marketing Management,Landing Page Submission
496,No,No,No,2,13,2,"Banking, Investment And Insurance",Landing Page Submission
497,No,No,No,5,133,5,,API
498,No,No,No,4,825,4,Operations Management,Landing Page Submission
499,No,No,No,4,217,4,Finance Management,Landing Page Submission
500,No,No,No,0,0,0,,API
501,No,No,No,3,110,3,Marketing Management,Landing Page Submission
502,No,No,No,2,100,2,,API
503,Yes,No,No,4,1385,4,Supply Chain Management,Landing Page Submission
504,No,No,No,5,442,5,,API
505,No,No,No,4,1640,4,Hospitality Management,Landing Page Submission
506,Yes,No,No,3,578,3,Retail Management,API
507,No,No,No,3,23,3,Finance Management,Landing Page Submission
508,Yes,No,No,0,0,0,,Lead Add Form
509,No,No,No,3,235,3,,API
510,No,No,No,3,241,3,,API
511,No,No,No,2,75,1,,API
512,No,No,No,4,439,4,E-COMMERCE,Landing Page Submission
513,No,No,No,2,1491,1,,API
514,Yes,No,No,0,0,0,Hospitality Management,Lead Add Form
515,No,No,No,0,0,0,,API
516,No,No,No,3,262,3,Hospitality Management,Landing Page Submission
517,No,No,No,5,486,5,Finance Management,Landing Page Submission
518,Yes,No,No,4,913,1.33,,API
519,No,No,No,0,0,0,,API
520,Yes,No,No,0,0,0,,API
521,No,No,No,4,92,2,Finance Management,Landing Page Submission
522,No,No,No,7,333,7,,API
523,No,No,No,11,101,5.5,,API
524,No,No,No,2,1429,2,Finance Management,Landing Page Submission
525,No,No,No,11,127,3.67,Supply Chain Management,Landing Page Submission
526,No,No,No,5,362,5,Business Administration,Landing Page Submission
527,No,No,No,3,1132,3,Marketing Management,Landing Page Submission
528,No,No,No,0,0,0,,API
529,No,No,No,2,125,2,Operations Management,Landing Page Submission
530,Yes,No,No,2,1012,2,Finance Management,Landing Page Submission
531,No,No,No,5,357,5,Finance Management,Landing Page Submission
532,Yes,No,No,0,0,0,,API
533,No,No,No,3,232,3,,API
534,Yes,No,No,3,829,3,Media and Advertising,Landing Page Submission
535,No,No,No,8,717,2.67,,API
536,Yes,No,No,3,1208,3,,Landing Page Submission
537,No,No,No,3,1577,1.5,Operations Management,Landing Page Submission
538,No,No,No,7,185,7,Finance Management,Landing Page Submission
539,No,No,No,2,127,1,Marketing Management,Landing Page Submission
540,No,No,No,6,283,6,Human Resource Management,Landing Page Submission
541,No,No,No,6,361,3,Rural and Agribusiness,Landing Page Submission
542,No,No,No,2,394,2,,API
543,No,Yes,No,4,347,4,IT Projects Management,Landing Page Submission
544,No,No,No,7,133,3.5,,API
545,No,No,No,2,151,2,,API
546,No,No,No,3,308,1.5,Supply Chain Management,Landing Page Submission
547,Yes,No,No,7,1172,3.5,Finance Management,Landing Page Submission
548,No,No,No,2,178,2,E-COMMERCE,Landing Page Submission
549,Yes,No,No,3,1712,3,Human Resource Management,API
